"word","freq"
"brought",379
"drink",379
"sun",379
"picture",378
"war",378
"whose",378
"became",377
"cup",377
"june",376
"wrote",376
"example",375
"billion",373
"problems",373
"sales",373
"training",373
"afternoon",372
"entire",372
"lose",372
"louis",372
"star",372
"agree",371
"attention",371
"heat",371
"learned",371
"provide",370
"league",369
"jesus",368
"practice",367
"r",367
"track",367
"david",365
"loss",365
"america",364
"football",364
"gotta",364
"current",363
"died",363
"spend",363
"seven",362
"followed",361
"oil",361
"wonder",361
"form",360
"hi",360
"member",359
"bowl",358
"california",358
"sad",358
"bought",357
"budget",357
"completely",357
"focus",356
"hospital",356
"stories",356
"c",355
"events",355
"fresh",355
"husband",355
"moved",355
"totally",355
"data",354
"dead",354
"knows",354
"beach",353
"date",353
"mine",353
"mothers",353
"feet",352
"piece",352
"despite",351
"whatever",351
"workers",351
"action",350
"low",350
"plus",350
"press",349
"safe",349
"council",348
"dr",348
"dream",348
"role",348
"interest",347
"changes",346
"exactly",345
"table",344
"cute",343
"feels",343
"hall",343
"james",343
"opening",343
"followers",342
"listen",342
"written",342
"evening",341
"test",341
"choice",340
"hurt",340
"dad",339
"portland",339
"speak",339
"itself",338
"missed",338
"paid",338
"text",338
"certain",337
"listening",337
"simple",337
"style",337
"july",336
"deep",335
"involved",335
"message",335
"anyway",334
"busy",334
"ground",334
"ha",334
"key",334
"miles",334
"position",334
"kid",332
"paul",332
"wall",332
"dance",330
"gift",330
"photo",330
"restaurant",330
"study",330
"united",330
"bank",329
"note",329
"quality",329
"rain",329
"fast",328
"quickly",328
"sick",328
"brother",327
"created",327
"daughter",327
"groups",327
"daily",326
"financial",326
"floor",326
"pictures",326
"view",326
"sports",325
"congrats",324
"begin",323
"eating",323
"economy",323
"main",323
"truth",323
"catch",322
"chicken",322
"dark",322
"stage",322
"chief",321
"details",321
"helped",321
"industry",321
"opportunity",321
"development",320
"international",320
"internet",320
"radio",319
"release",319
"tickets",319
"below",318
"cheese",318
"learning",318
"security",318
"shop",318
"changed",317
"character",317
"x",317
"complete",316
"finish",316
"ice",316
"minute",316
"mix",316
"photos",316
"private",316
"rights",316
"serious",316
"starts",315
"color",314
"growing",314
"natural",314
"blood",313
"heres",313
"kept",313
"property",313
"rose",313
"build",311
"gives",311
"enjoyed",310
"executive",310
"original",310
"chris",309
"employees",309
"figure",309
"performance",309
"allow",308
"sit",307
"judge",306
"similar",306
"ended",305
"extra",305
"sale",305
"spending",305
"statement",305
"teachers",305
"tweets",305
"walking",305
"asking",304
"chocolate",304
"further",304
"reported",304
"review",304
"beyond",303
"eye",303
"proud",303
"scene",303
"upon",303
"allowed",302
"consider",302
"difficult",302
"expect",302
"seemed",302
"situation",302
"lady",301
"named",301
"student",301
"contact",300
"michael",300
"pain",300
"relationship",300
"interested",299
"lord",299
"released",299
"poor",298
"present",298
"comment",297
"fell",297
"manager",297
"choose",296
"cream",296
"total",296
"trust",296
"amount",295
"beginning",295
"missing",295
"aint",294
"album",294
"annual",294
"cards",294
"hotel",294
"interview",294
"tour",294
"winning",294
"families",293
"gas",293
"increase",293
"land",293
"version",293
"wear",293
"economic",292
"grow",292
"happens",292
"period",292
"river",292
"songs",292
"tired",292
"truly",292
"whos",292
"box",291
"station",291
"dude",290
"force",290
"lovely",290
"quick",290
"rate",290
"sell",290
"sold",290
"type",290
"die",289
"killed",289
"sister",289
"teacher",289
"central",288
"garden",288
"spot",288
"title",288
"average",286
"costs",284
"eight",284
"orange",284
"senior",284
"thoughts",284
"clean",283
"committee",283
"potential",283
"result",283
"society",283
"defense",282
"etc",282
"glass",282
"leaving",282
"library",282
"mike",282
"republican",282
"straight",282
"hearing",281
"projects",281
"ride",281
"account",280
"announced",280
"block",280
"born",280
"hoping",280
"finding",279
"movies",279
"regular",279
"safety",279
"sugar",279
"planning",278
"biggest",277
"driving",277
"passed",277
"runs",277
"throughout",277
"absolutely",276
"customers",276
"g",276
"ran",276
"bag",275
"kitchen",275
"link",275
"agency",274
"credit",274
"double",274
