"word","freq"
"that my",195
"which i",195
"your life",195
"along the",194
"why i",194
"about what",193
"in some",193
"needed to",193
"year and",193
"be there",192
"but a",192
"he says",192
"to change",192
"university of",192
"you would",192
"a whole",191
"about that",191
"more of",191
"only one",191
"im sure",190
"the family",190
"the states",190
"they would",190
"way of",190
"a different",189
"dont like",189
"out with",189
"things that",189
"dont get",188
"for example",188
"he could",188
"sure to",188
"to sleep",188
"today i",188
"use the",188
"me know",187
"see it",187
"we could",187
"well i",187
"am not",186
"and are",186
"are all",186
"but this",186
"find out",186
"from his",186
"im in",186
"lack of",186
"only a",186
"opportunity to",186
"the name",186
"the real",186
"and one",185
"group of",185
"made me",185
"made the",185
"might have",185
"yes i",185
"a bad",184
"a single",184
"a wonderful",184
"director of",184
"even more",184
"happy to",184
"here is",184
"i couldnt",184
"of being",184
"piece of",184
"that could",184
"that im",184
"the truth",184
"will get",184
"with some",184
"and be",183
"but in",183
"miss you",183
"my heart",183
"not in",183
"over a",183
"social media",183
"that have",183
"the point",183
"were not",183
"where you",183
"a woman",182
"an hour",182
"didnt have",182
"i told",182
"is more",182
"long as",182
"my friend",182
"the very",182
"theres no",182
"to let",182
"and your",181
"easy to",181
"have some",181
"he did",181
"is all",181
"is your",181
"look like",181
"president of",181
"that one",181
"think the",181
"watching the",181
"when a",181
"with him",181
"a second",180
"because he",180
"like you",180
"no matter",180
"the door",180
"think it",180
"was to",180
"wont be",180
"you may",180
"you so",180
"he can",179
"not going",179
"of new",179
"sounds like",179
"the worst",179
"there and",179
"and as",178
"every time",178
"i believe",178
"i wonder",178
"long time",178
"may not",178
"on friday",178
"took a",178
"with them",178
"within the",178
"make me",177
"place to",177
"then the",177
"to check",177
"told the",177
"type of",177
"would you",177
"his wife",176
"it comes",176
"it could",176
"just like",176
"just to",176
"over to",176
"the event",176
"the ground",176
"throughout the",176
"were the",176
"back on",175
"become a",175
"come back",175
"here are",175
"it as",175
"one thing",175
"some people",175
"and just",174
"can make",174
"do this",174
"i started",174
"my head",174
"my mind",174
"of life",174
"was on",174
"were going",174
"with us",174
"would not",174
"a number",173
"all about",173
"have any",173
"the american",173
"the lord",173
"you might",173
"could not",172
"his first",172
"know it",172
"see how",172
"to us",172
"we should",172
"were a",172
"work with",172
"am so",171
"as long",171
"be an",171
"end up",171
"is like",171
"little bit",171
"next to",171
"plenty of",171
"so excited",171
"that if",171
"the federal",171
"the things",171
"what was",171
"where he",171
"work on",171
"believe that",170
"he also",170
"idea of",170
"of how",170
"the process",170
"time of",170
"to run",170
"we just",170
"work and",170
"a month",169
"its all",169
"me on",169
"they do",169
"why do",169
"are still",168
"comes to",168
"is there",168
"or two",168
"the street",168
"the week",168
"up at",168
"we want",168
"which was",168
"home and",167
"the bottom",167
"today and",167
"a game",166
"go back",166
"not even",166
"on monday",166
"san diego",166
"since i",166
"that were",166
"the field",166
"today is",166
"willing to",166
"a job",165
"and had",165
"called the",165
"did i",165
"half of",165
"is about",165
"it so",165
"one that",165
"you the",165
"he didnt",164
"her to",164
